SceneNumber,CanonicalNames,SceneLengthsEights
82,MARY,2,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
82,STAN,2,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
83,CLEMENTINE,3,INT,INT . CAR - NIGHT,NIGHT
83,JOEL BARISH,3,INT,INT . CAR - NIGHT,NIGHT
84,STAN,1,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
84,HOWARD MIERZWIAK,1,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
84,MARY,1,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
85,JOE EARLY,6,EXT,EXT . SCHOOLYARD - AFTERNOON,AFTERNOON
85,CLEMENTINE,6,EXT,EXT . SCHOOLYARD - AFTERNOON,AFTERNOON
85,JOEL BARISH,6,EXT,EXT . SCHOOLYARD - AFTERNOON,AFTERNOON
86,HOWARD MIERZWIAK,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
86,STAN,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
87,CLEMENTINE,1,EXT,EXT . BEACH - DAY,DAY
87,JOEL BARISH,1,EXT,EXT . BEACH - DAY,DAY
88,CLEMENTINE,3,INT,INT . BOY'S BEDROOM - NIGHT,NIGHT
88,JOEL BARISH,3,INT,INT . BOY'S BEDROOM - NIGHT,NIGHT
89,PATRICK,3,INT,INT . RESTAURANT - NIGHT,NIGHT
89,CLEMENTINE,3,INT,INT . RESTAURANT - NIGHT,NIGHT
89,JOEL BARISH,3,INT,INT . RESTAURANT - NIGHT,NIGHT
90,BOYS,5,EXT,EXT . SUBURBAN STREET - DAY,DAY
90,JOEL BARISH,5,EXT,EXT . SUBURBAN STREET - DAY,DAY
90,CLEMENTINE,5,EXT,EXT . SUBURBAN STREET - DAY,DAY
91,ALEXANDER POPE,17,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
91,HOWARD MIERZWIAK,17,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
91,MARY,17,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
91,STAN,17,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
92,STAN,2,EXT,EXT . JOEL'S APARTMENT BUILDING - NIGHT,NIGHT
92,MARY,2,EXT,EXT . JOEL'S APARTMENT BUILDING - NIGHT,NIGHT
92,HOWARD MIERZWIAK,2,EXT,EXT . JOEL'S APARTMENT BUILDING - NIGHT,NIGHT
92,JOEL BARISH,2,EXT,EXT . JOEL'S APARTMENT BUILDING - NIGHT,NIGHT
94,MARY,1,INT,INT . JOEL'S BEDROOM - CONTINUOUS,CONTINUOUS
94,HOWARD MIERZWIAK,1,INT,INT . JOEL'S BEDROOM - CONTINUOUS,CONTINUOUS
95,HOWARD MIERZWIAK,6,EXT,EXT . JOEL'S APARTMENT BUILDING - CONTINUOUS,CONTINUOUS
95,MARY,6,EXT,EXT . JOEL'S APARTMENT BUILDING - CONTINUOUS,CONTINUOUS
95,HOLLIS,6,EXT,EXT . JOEL'S APARTMENT BUILDING - CONTINUOUS,CONTINUOUS
95,STAN,6,EXT,EXT . JOEL'S APARTMENT BUILDING - CONTINUOUS,CONTINUOUS
96,PATRICK,1,EXT,EXT . CHARLES RIVER - NIGHT,NIGHT
96,CLEMENTINE,1,EXT,EXT . CHARLES RIVER - NIGHT,NIGHT
97,MARY,1,INT,INT . COMMUTER TRAIN - NIGHT,NIGHT
98,STAN,1,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
99,STEPHEN DIXON,4,EXT,EXT . ROWBOAT - DAY,DAY
99,CLEMENTINE,4,EXT,EXT . ROWBOAT - DAY,DAY
99,JOEL BARISH,4,EXT,EXT . ROWBOAT - DAY,DAY
100,NAOMI,5,INT,INT . CHINESE RESTAURANT - NIGHT,NIGHT
100,CHINESE,5,INT,INT . CHINESE RESTAURANT - NIGHT,NIGHT
100,JOEL BARISH,5,INT,INT . CHINESE RESTAURANT - NIGHT,NIGHT
100,CLEMENTINE,5,INT,INT . CHINESE RESTAURANT - NIGHT,NIGHT
102,NAOMI,3,INT,INT . RESTAURANT - NIGHT,NIGHT
102,JOEL BARISH,3,INT,INT . RESTAURANT - NIGHT,NIGHT
102,CLEMENTINE,3,INT,INT . RESTAURANT - NIGHT,NIGHT
103,JOEL BARISH,1,INT,INT . CAR - NIGHT,NIGHT
103,CLEMENTINE,1,INT,INT . CAR - NIGHT,NIGHT
104,JOEL BARISH,1,INT,INT . CLEMENTINE'S APARTMENT - NIGHT,NIGHT
105,HOWARD MIERZWIAK,7,INT,INT . LACUNA RECEPTION AREA - NIGHT,NIGHT
105,MARY,7,INT,INT . LACUNA RECEPTION AREA - NIGHT,NIGHT
